yyyy-mm-dd hh:mm:ss.d,orbit_number,source_filename     ,line,column
2023-01-14 16:36:09.864000,27230,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0114t161435-o27230_v01-2023m0115t170529.nc,3344,37
2023-01-14 18:17:40.128000,27231,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0114t175605-o27231_v01-2023m0115t162112.nc,3252,426
2023-01-15 16:17:11.523000,27244,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0115t155537-o27244_v01-2023m0117t002656.nc,3378,0
2023-01-15 17:58:41.548000,27245,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0115t173707-o27245_v01-2023m0117t002013.nc,3249,384
2023-01-16 17:39:43.446000,27259,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0116t171809-o27259_v01-2023m0117t161715.nc,3252,309
2023-01-17 17:20:45.542000,27273,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0117t165911-o27273_v01-2023m0120t140815.nc,3263,203
2023-01-18 17:01:48.157000,27287,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0118t164013-o27287_v01-2023m0121t135834.nc,3283,109
2023-01-19 16:42:49.363000,27301,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0119t162115-o27301_v01-2023m0120t174549.nc,3312,50
2023-01-19 18:24:20.226000,27302,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0119t180245-o27302_v01-2023m0120t174051.nc,3233,441
2023-01-20 16:23:52.575000,27315,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0120t160217-o27315_v01-2023m0121t145014.nc,3343,14
2023-01-20 18:05:22.599000,27316,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0120t174348-o27316_v01-2023m0121t150350.nc,3226,401
2023-01-21 17:46:24.492000,27330,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0121t172450-o27330_v01-2023m0122t150420.nc,3226,338
2023-01-22 17:27:28.065000,27344,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0122t170553-o27344_v01-2023m0123t171516.nc,3233,240
2023-01-23 17:08:29.479000,27358,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0123t164655-o27358_v01-2023m0124t144535.nc,3251,136
2023-01-24 16:49:31.973000,27372,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0124t162758-o27372_v01-2023m0125t151729.nc,3276,66
2023-01-25 16:30:35.309000,27386,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0125t160900-o27386_v01-2023m0126t153900.nc,3306,26
2023-01-25 18:12:05.333000,27387,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0125t175031-o27387_v01-2023m0126t160814.nc,3202,415
2023-01-26 17:53:07.467000,27401,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0126t173133-o27401_v01-2023m0127t153250.nc,3199,363
2023-01-27 17:34:10.321000,27415,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0127t171236-o27415_v01-2023m0128t152626.nc,3203,276
2023-01-28 17:15:13.294000,27429,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0128t165339-o27429_v01-2023m0129t155420.nc,3216,168
2023-01-29 16:56:17.107000,27443,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0129t163442-o27443_v01-2023m0131t121151.nc,3237,85
2023-01-30 16:37:19.639000,27457,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0130t161545-o27457_v01-2023m0131t214815.nc,3266,37
2023-01-30 18:18:49.422000,27458,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0130t175715-o27458_v01-2023m0131t214859.nc,3175,426
2023-01-31 17:59:53.953000,27472,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0131t173819-o27472_v01-2023m0202t154234.nc,3168,384
2023-02-01 17:40:57.104000,27486,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0201t171922-o27486_v01-2023m0203t104819.nc,3168,309
2023-02-02 17:22:00.194000,27500,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0202t170025-o27500_v01-2023m0203t135301.nc,3178,203
2023-02-03 17:03:02.563000,27514,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0203t164129-o27514_v01-2023m0204t165933.nc,3198,108
2023-02-04 16:44:06.730000,27528,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0204t162232-o27528_v01-2023m0205t142836.nc,3223,50
2023-02-04 18:25:37.233000,27529,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0204t180402-o27529_v01-2023m0205t144720.nc,3144,441
2023-02-05 16:25:09.617000,27542,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0205t160336-o27542_v01-2023m0206t154403.nc,3255,13
2023-02-05 18:06:39.760000,27543,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0205t174506-o27543_v01-2023m0206t155737.nc,3137,401
2023-02-06 17:47:44.287000,27557,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0206t172610-o27557_v01-2023m0209t143336.nc,3134,338
2023-02-07 17:28:48.093000,27571,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0207t170713-o27571_v01-2023m0209t172815.nc,3139,239
2023-02-08 17:09:51.898000,27585,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0208t164817-o27585_v01-2023m0209t220509.nc,3154,135
2023-02-09 16:50:55.941000,27599,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0209t162921-o27599_v01-2023m0210t130916.nc,3177,65
2023-02-10 16:31:59.384000,27613,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0210t161024-o27613_v01-2023m0211t170938.nc,3207,26
2023-02-10 18:13:29.887000,27614,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0210t175155-o27614_v01-2023m0211t172951.nc,3101,414
2023-02-11 17:54:34.170000,27628,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0211t173258-o27628_v01-2023m0212t175533.nc,3096,362
2023-02-12 17:35:37.373000,27642,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0212t171402-o27642_v01-2023m0213t161735.nc,3099,274
2023-02-13 17:16:41.235000,27656,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0213t165506-o27656_v01-2023m0214t145845.nc,3111,167
2023-02-14 16:57:45.278000,27670,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0214t163610-o27670_v01-2023m0215t182102.nc,3131,84
2023-02-15 16:38:48.359000,27684,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0215t161714-o27684_v01-2023m0216t160055.nc,3159,36
2023-02-15 18:20:19.221000,27685,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0215t175844-o27685_v01-2023m0216t155212.nc,3066,426
2023-02-16 18:01:23.260000,27699,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0216t173948-o27699_v01-2023m0217t162536.nc,3059,383
2023-02-17 17:42:26.577000,27713,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0217t172052-o27713_v01-2023m0218t162522.nc,3059,307
2023-02-18 17:23:31.535000,27727,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0218t170156-o27727_v01-2023m0219t161426.nc,3066,201
2023-02-19 17:04:36.172000,27741,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0219t164300-o27741_v01-2023m0220t165901.nc,3083,107
2023-02-20 16:45:39.249000,27755,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0220t162404-o27755_v01-2023m0221t165458.nc,3108,49
2023-02-20 18:27:10.111000,27756,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0220t180535-o27756_v01-2023m0221t155057.nc,3029,440
2023-02-21 16:26:43.846000,27769,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0221t160508-o27769_v01-2023m0222t161144.nc,3138,12
2023-02-21 18:08:14.108000,27770,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0221t174639-o27770_v01-2023m0222t161215.nc,3020,400
2023-02-22 17:49:18.023000,27784,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0222t172743-o27784_v01-2023m0224t145319.nc,3016,336
2023-02-23 17:30:22.178000,27798,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0223t170847-o27798_v01-2023m0224t202956.nc,3021,237
2023-02-24 17:11:26.452000,27812,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0224t164951-o27812_v01-2023m0227t135931.nc,3035,134
2023-02-25 16:52:31.086000,27826,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0225t163056-o27826_v01-2023m0228t005703.nc,3057,64
2023-02-26 16:33:35.150000,27840,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0226t161200-o27840_v01-2023m0228t165913.nc,3085,25
2023-02-26 18:15:05.412000,27841,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0226t175330-o27841_v01-2023m0228t170047.nc,2980,414
2023-02-27 17:56:09.205000,27855,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0227t173434-o27855_v01-2023m0302t051417.nc,2974,361
2023-02-28 17:37:14.077000,27869,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0228t171539-o27869_v01-2023m0302t054520.nc,2975,273
2023-03-01 17:18:17.510000,27883,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0301t165643-o27883_v01-2023m0304t135253.nc,2987,165
2023-03-02 16:59:22.061000,27897,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0302t163747-o27897_v01-2023m0305t134253.nc,3006,83
2023-03-03 16:40:26.213000,27911,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0303t161851-o27911_v01-2023m0306t131904.nc,3032,36
2023-03-03 18:21:57.075000,27912,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0303t180022-o27912_v01-2023m0306t150442.nc,2939,425
2023-03-04 18:03:00.987000,27926,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0304t174126-o27926_v01-2023m0306t181602.nc,2931,382
2023-03-05 17:44:05.499000,27940,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0305t172230-o27940_v01-2023m0307t030802.nc,2930,306
2023-03-06 17:25:08.492000,27954,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0306t170335-o27954_v01-2023m0307t145207.nc,2939,199
2023-03-07 17:06:13.482000,27968,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0307t164439-o27968_v01-2023m0308t141301.nc,2954,106
2023-03-08 16:47:17.272000,27982,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0308t162543-o27982_v01-2023m0311t133248.nc,2979,48
2023-03-08 18:28:47.415000,27983,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0308t180713-o27983_v01-2023m0311t151111.nc,2899,439
2023-03-09 16:28:22.383000,27996,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0309t160647-o27996_v01-2023m0312t141144.nc,3007,11
2023-03-09 18:09:52.765000,27997,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0309t174818-o27997_v01-2023m0312t154400.nc,2888,399
2023-03-10 17:50:56.916000,28011,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0310t172922-o28011_v01-2023m0313t130602.nc,2884,335
2023-03-11 17:32:01.037000,28025,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0311t171026-o28025_v01-2023m0313t143055.nc,2888,235
2023-03-12 17:13:04.226000,28039,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0312t165130-o28039_v01-2023m0313t220401.nc,2903,132
2023-03-13 16:54:09.094000,28053,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0313t163234-o28053_v01-2023m0314t195556.nc,2924,63
2023-03-14 16:35:12.280000,28067,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0314t161338-o28067_v01-2023m0315t212450.nc,2953,25
2023-03-14 18:16:43.501000,28068,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0314t175509-o28068_v01-2023m0315t212949.nc,2845,413
2023-03-15 17:57:48.128000,28082,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0315t173613-o28082_v01-2023m0316t171221.nc,2838,359
2023-03-16 17:38:55.276000,28096,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0316t171720-o28096_v01-2023m0319t151453.nc,2840,270
2023-03-17 17:20:02.779000,28110,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0317t165828-o28110_v01-2023m0320t150151.nc,2851,163
2023-03-18 17:01:11.281000,28124,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0318t163936-o28124_v01-2023m0320t180429.nc,2869,82
2023-03-19 16:42:19.141000,28138,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0319t162044-o28138_v01-2023m0320t213021.nc,2895,35
2023-03-19 18:23:49.882000,28139,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0319t180214-o28139_v01-2023m0320t213459.nc,2802,425
2023-03-20 18:04:56.420000,28153,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0320t174322-o28153_v01-2023m0321t181504.nc,2794,381
2023-03-21 17:46:04.316000,28167,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0321t172430-o28167_v01-2023m0322t183004.nc,2793,305
2023-03-22 17:27:12.293000,28181,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0322t170537-o28181_v01-2023m0324t034309.nc,2800,198
2023-03-23 17:08:19.460000,28195,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0323t164645-o28195_v01-2023m0324t181322.nc,2816,105
2023-03-24 16:49:27.316000,28209,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0324t162752-o28209_v01-2023m0325t153631.nc,2840,48
2023-03-24 18:30:57.577000,28210,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0324t180923-o28210_v01-2023m0325t160932.nc,2760,439
2023-03-25 16:30:35.174000,28223,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0325t160900-o28223_v01-2023m0326t155213.nc,2869,12
2023-03-25 18:12:05.435000,28224,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0325t175031-o28224_v01-2023m0326t162607.nc,2750,399
2023-03-26 17:53:13.291000,28238,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0326t173138-o28238_v01-2023m0327t161701.nc,2745,335
2023-03-27 17:34:19.708000,28252,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0327t171245-o28252_v01-2023m0329t144708.nc,2751,236
2023-03-28 17:15:27.326000,28266,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0328t165353-o28266_v01-2023m0329t171145.nc,2764,133
2023-03-29 16:56:35.061000,28280,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0329t163500-o28280_v01-2023m0330t194213.nc,2785,64
2023-03-30 16:37:41.718000,28294,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0330t161607-o28294_v01-2023m0402t142222.nc,2814,25
2023-03-30 18:19:12.579000,28295,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0330t175738-o28295_v01-2023m0402t155208.nc,2707,413
2023-03-31 18:00:20.194000,28309,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0331t173845-o28309_v01-2023m0403t153908.nc,2701,361
2023-04-01 17:41:26.730000,28323,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0401t171952-o28323_v01-2023m0404t021326.nc,2702,272
2023-04-02 17:22:34.344000,28337,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0402t170059-o28337_v01-2023m0404t082413.nc,2713,165
2023-04-03 17:03:40.718000,28351,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0403t164207-o28351_v01-2023m0404t180158.nc,2732,83
2023-04-04 16:44:48.330000,28365,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0404t162314-o28365_v01-2023m0405t181457.nc,2758,36
2023-04-04 18:26:19.190000,28366,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0404t180444-o28366_v01-2023m0405t183720.nc,2665,425
2023-04-05 18:07:25.661000,28380,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0405t174551-o28380_v01-2023m0406t194140.nc,2657,382
2023-04-06 17:48:32.671000,28394,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0406t172658-o28394_v01-2023m0407t164632.nc,2656,306
2023-04-07 17:29:39.441000,28408,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0407t170805-o28408_v01-2023m0408t153359.nc,2663,200
2023-04-08 17:10:46.449000,28422,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0408t164912-o28422_v01-2023m0411t104226.nc,2680,106
2023-04-09 16:51:52.975000,28436,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0409t163018-o28436_v01-2023m0411t121833.nc,2704,49
2023-04-09 18:33:24.075000,28437,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0409t181149-o28437_v01-2023m0411t122236.nc,2624,440
2023-04-10 16:33:00.100000,28450,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0410t161125-o28450_v01-2023m0411t161603.nc,2733,12
2023-04-10 18:14:30.120000,28451,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0410t175255-o28451_v01-2023m0411t171100.nc,2615,400
2023-04-11 17:55:36.645000,28465,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0411t173402-o28465_v01-2023m0412t162943.nc,2612,336
2023-04-12 17:36:42.690000,28479,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0412t171509-o28479_v01-2023m0421t074608.nc,2617,237
2023-04-13 17:17:49.895000,28493,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0413t165615-o28493_v01-2023m0421t115851.nc,2630,134
2023-04-14 16:58:56.047000,28507,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0414t163721-o28507_v01-2023m0422t090346.nc,2653,64
2023-04-15 16:40:01.609000,28521,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0415t161827-o28521_v01-2023m0422t074704.nc,2682,25
2023-04-15 18:21:33.069000,28522,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0415t175958-o28522_v01-2023m0422t093058.nc,2576,414
2023-04-16 18:02:39.114000,28536,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0416t174104-o28536_v01-2023m0422t103841.nc,2570,361
2023-04-17 17:43:45.279000,28550,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0417t172211-o28550_v01-2023m0422t112619.nc,2572,273
2023-04-18 17:24:51.014000,28564,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0418t170317-o28564_v01-2023m0422t122230.nc,2584,165
2023-04-19 17:05:57.296000,28578,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0419t164423-o28578_v01-2023m0422t131016.nc,2604,84
2023-04-20 16:47:03.096000,28592,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0420t162529-o28592_v01-2023m0422t140433.nc,2631,36
2023-04-20 18:28:32.636000,28593,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0420t180700-o28593_v01-2023m0422t140458.nc,2541,425
2023-04-21 18:09:39.274000,28607,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0421t174806-o28607_v01-2023m0422t164036.nc,2533,383
2023-04-22 17:50:45.198000,28621,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0422t172912-o28621_v01-2023m0423t235831.nc,2532,307
2023-04-23 17:31:50.399000,28635,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0423t171018-o28635_v01-2023m0424t181415.nc,2542,202
2023-04-24 17:12:58.241000,28649,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0424t165123-o28649_v01-2023m0425t190802.nc,2557,107
2023-04-25 16:54:04.043000,28663,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0425t163229-o28663_v01-2023m0426t152431.nc,2582,49
2023-04-25 18:35:33.703000,28664,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0425t181400-o28664_v01-2023m0426t152618.nc,2505,441
2023-04-26 16:35:09.484000,28677,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0426t161335-o28677_v01-2023m0427t162309.nc,2613,13
2023-04-26 18:16:39.984000,28678,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0426t175505-o28678_v01-2023m0427t162735.nc,2495,400
2023-04-28 17:38:50.744000,28706,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0428t171716-o28706_v01-2023m0429t162111.nc,2498,239
2023-04-29 17:19:56.384000,28720,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0429t165821-o28720_v01-2023m0501t141535.nc,2513,136
2023-04-30 17:01:01.402000,28734,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0430t163927-o28734_v01-2023m0502t121352.nc,2536,66
2023-05-01 16:42:06.360000,28748,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0501t162032-o28748_v01-2023m0503t131245.nc,2566,26
2023-05-01 18:23:37.220000,28749,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0501t180202-o28749_v01-2023m0503t131430.nc,2462,415
2023-05-02 18:04:41.455000,28763,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0502t174307-o28763_v01-2023m0504t133248.nc,2458,363
2023-05-04 17:26:49.443000,28791,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0504t170515-o28791_v01-2023m0505t173314.nc,2474,169
2023-05-05 17:07:52.278000,28805,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0505t164618-o28805_v01-2023m0507t023631.nc,2495,85
2023-05-06 16:48:54.470000,28819,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0506t162721-o28819_v01-2023m0508t033656.nc,2524,37
2023-05-06 18:30:25.930000,28820,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0506t180851-o28820_v01-2023m0508t033812.nc,2432,426
2023-05-07 16:29:58.102000,28833,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0507t160823-o28833_v01-2023m0508t160149.nc,2555,0
2023-05-07 18:11:27.642000,28834,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0507t174954-o28834_v01-2023m0508t160830.nc,2427,384
2023-05-08 17:52:31.153000,28848,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0508t173056-o28848_v01-2023m0509t165936.nc,2427,310
2023-05-09 17:33:32.625000,28862,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0509t171159-o28862_v01-2023m0510t183747.nc,2438,204
2023-05-10 17:14:36.015000,28876,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0510t165301-o28876_v01-2023m0511t161207.nc,2455,109
2023-05-11 16:55:37.605000,28890,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0511t163403-o28890_v01-2023m0512t170417.nc,2483,50
2023-05-11 18:37:07.624000,28891,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0511t181533-o28891_v01-2023m0512t172946.nc,2406,442
2023-05-12 16:36:40.033000,28904,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0512t161505-o28904_v01-2023m0513t185529.nc,2515,14
2023-05-12 18:18:10.292000,28905,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0512t175635-o28905_v01-2023m0513t185525.nc,2398,401
2023-05-13 17:59:12.181000,28919,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0513t173737-o28919_v01-2023m0516t153600.nc,2397,339
2023-05-14 17:40:14.251000,28933,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0514t171839-o28933_v01-2023m0517t114811.nc,2404,241
2023-05-15 17:21:15.478000,28947,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0515t165941-o28947_v01-2023m0517t122854.nc,2421,137
2023-05-16 17:02:16.586000,28961,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0516t164042-o28961_v01-2023m0518t030438.nc,2447,66
2023-05-17 16:43:18.414000,28975,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0517t162144-o28975_v01-2023m0518t173410.nc,2478,26
2023-05-17 18:24:47.713000,28976,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0517t180314-o28976_v01-2023m0518t173319.nc,2375,415
2023-05-19 17:46:51.168000,29004,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0519t172517-o29004_v01-2023m0520t160500.nc,2377,277
2023-05-20 17:27:51.433000,29018,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0520t170618-o29018_v01-2023m0523t020450.nc,2392,169
2023-05-21 17:08:53.016000,29032,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0521t164719-o29032_v01-2023m0523t114426.nc,2415,86
2023-05-22 16:49:54.358000,29046,TROPOMI-Sentinel-5P_L2-TROPOMAER_2023m0522t162819-o29046_v01-2023m0524t075314.nc,2444,37
